Rodzaj zwarcia,IPL1,IPL2,IPL3,IPN,ISL1,ISL2,ISL3,ISL1-L2,ISL2-L3,ISL3-L1
L1-N,2.424,0.488,0.272,0,5.2,1,0.6,6.3,0.6,5.8
L2-N,0.272,2.44,0.48,0,0.6,5.2,1,5.8,6.4,0.6
L3-N,0.494,0.271,2.465,0,1,0.6,5.3,0.6,6,0.5
L1-L2-N,0.988,1.73,0.292,0,2.1,3.7,0.6,5.7,4.3,2
L1-L3-N,1.728,0.294,0.982,0,3.6,0.6,2.1,4.3,2,5.7
L2-L3-N,0.295,0.975,1.727,0,0.6,2.1,3.6,2,5.7,4.3
L1-L2,1.267,1.382,0.173,0,2.6,2.9,0.4,5.7,3.2,2.5
L1-L3,1.37,0.174,1.26,0,2.8,0.4,2.7,3.2,2.5,5.7
L2-L3,0.174,1.255,1.367,0,0.3,2.7,2.9,2.5,5.7,3.2
L1-L2-L3,1.539,1.531,1.528,0,3.2,3.2,3.2,5.6,5.6,5.6
